Account Number,Level,Account Name,Indented Name,Cost,Cost Fraction
22.1.4,3,Supplemental Heating,            22.1.4 Supplemental Heating,227.453,0.1275688849
22.1.4.1,4,NBI,                22.1.4.1 NBI,105.963,0.05943021963
22.1.4.2,4,ICRH,                22.1.4.2 ICRH,41.49,0.02327000757
22.1.4.3,4,ECH,                22.1.4.3 ECH,80,0.04486865765
22.1.5,3,Primary Structure and Support,            22.1.5 Primary Structure and Support,0,0
22.1.6,3,Vacuum System,            22.1.6 Vacuum System,2.031827257,0.00113956702
22.1.6.2,4,Vessel Refrigerators,                22.1.6.2 Vessel Refrigerators,0,0
22.1.6.3,4,Primary Vacuum Pumps,                22.1.6.3 Primary Vacuum Pumps,1.689827257,0.0009477535084
22.1.6.4,4,Backing Vacuum Pumps,                22.1.6.4 Backing Vacuum Pumps,0.342,0.0001918135114
22.1.7,3,Power Supplies,            22.1.7 Power Supplies,0,0
22.1.8,3,Divertor,            22.1.8 Divertor,0,0
22.1.9,3,Direct Energy Convertor,            22.1.9 Direct Energy Convertor,109.3171648,0.06131143055
22.1.11,3,Assembly and Installation Costs,            22.1.11 Assembly and Installation Costs,153.1952079,0.08592079173
22.2,2,Main and Secondary Coolant,        22.2 Main and Secondary Coolant,33.6494515,0.01887257149
22.3,2,Auxiliary Cooling Systems,        22.3 Auxiliary Cooling Systems,0.3521982635,0.0001975332914
22.4,2,Radioactive Waste Treatment,        22.4 Radioactive Waste Treatment,0.6275532695,0.0003519684101
22.5,2,Fuel Handling and Storage,        22.5 Fuel Handling and Storage,88.65405229,0.04972235402
22.6,2,Other Heat Island Equipment,        22.6 Other Heat Island Equipment,1.748097852,0.0009804350505
22.7,2,Instrumentation and Control,        22.7 Instrumentation and Control,85,0.04767294875
23,1,Turbine Plant Equipment,    23 Turbine Plant Equipment,39.82276109,0.02233492293
24,1,Electric Plant Equipment,    24 Electric Plant Equipment,9.819310954,0.005507241269
25,1,Miscellaneous Plant Equipment,    25 Miscellaneous Plant Equipment,6.909885486,0.003875466078
26,1,Heat Rejection,    26 Heat Rejection,11.67929132,0.00655042655
27,1,Special Materials,    27 Special Materials,0,0
28,1,Digital Twin/Simulator,    28 Digital Twin/Simulator,5,0.002804291103
29,1,Contingency on Direct Capital Costs,    29 Contingency on Direct Capital Costs,0,0
30,0,Capitalized Indirect Service Costs (CISC),30 Capitalized Indirect Service Costs (CISC),71.59197058,0.04015294523
31,1,Field Indirect Costs,    31 Field Indirect Costs,14.31839412,0.008030589046
32,1,Construction Supervision,    32 Construction Supervision,35.79598529,0.02007647261
33,1,Commissioning and Start-Up Costs,    33 Commissioning and Start-Up Costs,0,0
34,1,Demonstration Test Run,    34 Demonstration Test Run,0,0
35,1,Design Services Offsite,    35 Design Services Offsite,21.47759117,0.01204588357
36,1,PM/CM Services Offsite,    36 PM/CM Services Offsite,0,0
37,1,Design Servies Offsite,    37 Design Servies Offsite,0,0
38,1,PM/CM Services Onsite,    38 PM/CM Services Onsite,0,0
39,1,Contingency on Support Services,    39 Contingency on Support Services,0,0
40,0,Capitalized Owner's Cost (COC),40 Capitalized Owner's Cost (COC),155.7811156,0.08737111928
50,0,Capitalized Supplementary Costs (CSC),50 Capitalized Supplementary Costs (CSC),37.83719261,0.02122130052
51,1,Shipping and Transportation Costs,    51 Shipping and Transportation Costs,8,0.004486865765
52,1,Spare Parts,    52 Spare Parts,7.323124886,0.004107234793
53,1,Taxes,    53 Taxes,0,0
54,1,Insurance,    54 Insurance,1,0.0005608582206
55,1,Initial Fuel Load,    55 Initial Fuel Load,21.51406772,0.01206634174
58,1,Decommissioning Costs,    58 Decommissioning Costs,0,0
59,1,Contingency on Supplementary Costs,    59 Contingency on Supplementary Costs,0,0
60,0,Capitalized Financial Costs (CFC),60 Capitalized Financial Costs (CFC),195.4094412,0.1095969915
61,1,Escalation,    61 Escalation,20.125,0.01128727169
62,1,Fees,    62 Fees,0,0
63,1,Interest During Construction (IDC),    63 Interest During Construction (IDC),175.2844412,0.09830971981
69,1,Contingency on Capitalized Financial Costs,    69 Contingency on Capitalized Financial Costs,0,0
OCC,0,Overnight Capital Cost (OCC),OCC Overnight Capital Cost (OCC),1587.572359,0.8904030085
TCC,0,Total Capital Cost (TCC),TCC Total Capital Cost (TCC),1782.981801,1
O&M,0,Operations and Maintenance,O&M Operations and Maintenance,5.69490028,0.003194031637
Fuel,0,Fuel,Fuel Fuel,0.1090042081,0.00006113590621
81,1,Deuterium,    81 Deuterium,0.04739117657,0.00002657973096
